,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
127,23010582,2023-03-12 00:24:33,Oak Park,0,2023,3,Sexual Orientation,32.74232301349135,-117.0611546262329
128,23013659,2023-03-31 14:00:00,Teralta West,14,2023,3,Race,32.74966228968628,-117.106920632105
129,23018294,2023-04-30 12:45:00,Mission Bay Park,12,2023,4,Race,32.78837847349845,-117.20786712653717
130,22010580,2022-03-10 19:30:00,Carmel Valley,19,2022,3,Race,32.950034130877974,-117.23228676543128
131,23038477,2023-09-04 21:00:00,Mira Mesa,21,2023,9,Race,32.91988503446299,-117.11864340960528
132,23018294,2023-04-30 12:45:00,Mission Bay Park,12,2023,4,Race,32.78837847349845,-117.20786712653717
133,23027414,2023-06-27 21:00:00,Golden Hill,21,2023,6,Sexual Orientation,32.71701847508716,-117.1295215984312
134,22051976,2022-12-01 20:11:46,Point Loma Heights,20,2022,12,Race,32.75532692755199,-117.22020951641248
135,22042944,2022-10-04 05:23:41,Mission Valley East,5,2022,10,Gender,32.770241527611724,-117.15885131425736
136,22033761,2022-08-05 16:34:04,Ocean Crest,16,2022,8,Race,32.57040716009589,-117.03795359892476
137,22026593,2022-06-19 15:46:28,Hillcrest,15,2022,6,Race,32.748426525607954,-117.15526573718736
138,22026448,2022-06-18 11:55:00,Hillcrest,11,2022,6,Race/Gender,32.7470134048488,-117.16049063592853
139,21017124,2021-04-10 11:00:42,Harborview,11,2021,4,Sexual Orientation,32.720955498366614,-117.17014687828198
140,22019637,2022-05-05 15:15:26,Tierra Santa,15,2022,5,Sexual Orientation,32.823145378600486,-117.10094856965956
141,21056974,2021-12-03 22:00:00,Ocean Beach,22,2021,12,Race,32.74693643767177,-117.25107979929264
142,20001512,2020-01-08 13:00:00,O'Farrell,13,2020,1,Sexual Orientation,32.707115345124066,-117.07076696192368
143,21047512,2021-10-03 13:30:00,Torrey Pines,13,2021,10,Race,32.878570782943164,-117.24516630332457
144,22013542,2022-03-28 09:55:00,Hillcrest,9,2022,3,Race,32.748467590531604,-117.14921680788252
145,22039475,2022-09-11 17:28:57,Park West,17,2022,9,Race,32.72309873726373,-117.16198373437877
146,22032875,2022-07-31 03:36:00,Pacific Beach,3,2022,7,Sexual Orientation,32.79450442375066,-117.25595657133718
147,21017797,2021-04-06 17:00:00,University City,17,2021,4,Race,,
